Symbol,Date,Open
a,21,23.625999999999998
a,181,18.804000000000002
a,202,21.441999999999997
a,223,20.665
a,273,23.673000000000002
a,294,22.823
a,314,22.558000000000003
a,394,21.07
a,465,24.298000000000002
a,486,25.818
a,699,25.230999999999998
a,710,24.825
a,731,22.998
a,801,20.794
a,821,20.429000000000002
a,892,23.694000000000003
a,913,24.526
a,1135,9.1722
a,1156,10.227
a,1206,12.324000000000002
a,1227,13.175999999999998
a,1247,13.779000000000002
a,1277,15.692
a,1298,17.316
a,1319,18.859
a,1339,18.014
a,1410,20.123
a,1451,20.969
a,1472,19.784000000000002
a,1490,21.26
a,1520,23.37
a,1541,24.471
a,1561,22.781999999999996
a,1582,21.706
a,1632,18.722
a,1653,19.522000000000002
a,1674,18.569000000000003
a,1724,23.531999999999996
a,1745,23.54
a,1765,24.113000000000003
a,1795,28.131999999999998
a,1806,28.759
a,1827,28.456
a,1875,29.438000000000002
a,1896,30.305
a,1946,33.794000000000004
a,1967,32.942
a,1987,33.449
a,2008,28.828000000000003
a,2038,24.865
a,2059,23.735
a,2079,22.233
a,2100,23.838
a,2150,23.287
a,2191,29.375
a,2212,29.288
a,2302,26.325
a,2323,27.153000000000002
a,2373,25.851
a,2394,25.081
a,2415,25.993000000000002
a,2435,26.237
a,2465,24.534000000000002
a,2486,24.752
a,2506,26.409000000000002
a,2568,30.858
a,2586,28.133000000000003
a,2820,36.525999999999996
a,2841,34.865
a,2891,39.653
a,2971,39.465
a,2992,37.147
a,3012,37.321
a,3083,39.062
a,3104,38.675
a,3326,39.736
a,3347,40.486999999999995
a,3397,41.571999999999996
a,3418,39.62
a,3438,38.071999999999996
a,3468,40.186
a,3489,36.35
a,3510,34.911
a,3530,33.696
a,3601,40.010999999999996
a,3642,36.772
a,3663,34.576
a,3682,37.046
a,3712,39.39
a,3733,40.976000000000006
a,3753,41.657
a,3774,45.173
a,3824,46.50899999999999
a,3845,47.143
a,3866,46.558
a,3916,45.324
a,3937,46.417
a,3957,43.747
a,3998,47.805
a,4019,48.701
a,4067,53.03
a,4088,52.583
a,4108,55.376999999999995
a,4138,59.318000000000005
a,4159,60.176
a,4179,59.99
aac,3326,25.7
aac,3347,30.58
aac,3397,35.85
aac,3418,43.58
aac,3438,43.86
aac,3468,37.43
aac,3489,22.05
aac,3510,22.94
aac,3530,22.27
aac,3601,22.6
aac,3642,16.38
aac,3663,19.51
aac,3682,20.4
aac,3712,19.68
aac,3733,20.68
aac,3753,21.58
aac,3774,21.08
aac,3824,21.71
aac,3845,17.55
aac,3866,19.6
aac,3916,17.07
aac,3937,7.82
aac,3957,8.3
aac,3998,7.94
aac,4019,7.95
aac,4067,8.39
aac,4088,8.26
aac,4108,7.13
aac,4138,6.26
aac,4159,6.79
aac,4179,6.75
aan,0,15.228
aan,21,16.27
aan,181,16.023
aan,202,15.238
aan,223,15.470999999999998
aan,273,16.317
aan,294,17.023
aan,314,17.955
aan,394,17.641
aan,465,18.565
aan,486,18.839000000000002
aan,699,12.654000000000002
aan,710,11.292
aan,731,12.606
aan,801,14.265999999999998
aan,821,16.346
aan,892,14.617
aan,913,18.064
aan,1135,15.51
aan,1156,17.407
aan,1206,19.998
aan,1227,21.391
aan,1247,19.565
aan,1277,17.671
aan,1298,18.232
aan,1319,17.261
aan,1339,17.092
aan,1410,17.799
aan,1451,18.741
aan,1472,19.076
aan,1490,19.408
aan,1520,21.941
aan,1541,22.364
aan,1561,20.705
aan,1582,19.487000000000002
aan,1632,16.914
aan,1653,17.367
aan,1674,16.23
aan,1724,17.436
aan,1745,19.635
aan,1765,19.851
aan,1795,19.862000000000002
aan,1806,20.215
aan,1827,18.908
aan,1875,23.739
aan,1896,25.791999999999998
aan,1946,27.495
aan,1967,25.97
aan,1987,28.331
aan,2008,25.066999999999997
aan,2038,25.901999999999997
aan,2059,26.574
aan,2079,25.787
aan,2100,25.38
aan,2150,26.215
aan,2191,27.537
aan,2212,28.017
aan,2302,25.079
aan,2323,27.425
aan,2373,28.913
aan,2394,29.467
aan,2415,29.596999999999998
aan,2435,27.458000000000002
aan,2465,29.676
aan,2486,28.996
aan,2506,28.305999999999997
aan,2568,29.585
aan,2586,26.883000000000003
aan,2820,28.299
aan,2841,29.048000000000002
aan,2891,28.999000000000002
aan,2971,30.463
aan,2992,29.791
aan,3012,29.218000000000004
aan,3083,33.609
aan,3104,26.127
aan,3326,27.839000000000002
aan,3347,28.088
aan,3397,35.209
aan,3418,34.133
aan,3438,36.306
aan,3468,35.731
aan,3489,37.746
aan,3510,37.819
aan,3530,36.012
aan,3601,22.225
aan,3642,22.583000000000002
aan,3663,21.180999999999997
aan,3682,23.0
aan,3712,24.906
aan,3733,26.518
aan,3753,25.284000000000002
aan,3774,24.862
aan,3824,22.928
aan,3845,25.05
aan,3866,24.258000000000003
aan,3916,23.000999999999998
aan,3937,26.712
aan,3957,29.005
aan,3998,32.395
aan,4019,31.008000000000003
aan,4067,29.419
aan,4088,30.508000000000003
aan,4108,36.374
aan,4138,36.184
aan,4159,38.343
aan,4179,37.94
aat,1827,17.618
aat,1875,17.955
aat,1896,17.822
aat,1946,18.654
aat,1967,18.495
aat,1987,19.213
aat,2008,18.387
aat,2038,16.826
aat,2059,16.082
aat,2079,15.014000000000001
aat,2100,16.844
aat,2150,18.1
aat,2191,18.922
aat,2212,19.343
aat,2302,19.758
aat,2323,20.767
aat,2373,23.261
aat,2394,23.76
aat,2415,24.086
aat,2435,23.748
aat,2465,23.853
aat,2486,24.554000000000002
aat,2506,24.156
aat,2568,26.351999999999997
aat,2586,26.776999999999997
aat,2820,30.141
aat,2841,28.965999999999998
aat,2891,29.315
aat,2971,30.984
aat,2992,30.198
aat,3012,31.369
aat,3083,32.42
aat,3104,31.916999999999998
aat,3326,38.568000000000005
aat,3347,40.847
aat,3397,38.54
aat,3418,37.533
aat,3438,37.39
aat,3468,39.368
aat,3489,39.387
aat,3510,36.249
aat,3530,39.245
aat,3601,36.647
aat,3642,34.894
aat,3663,33.073
aat,3682,35.944
aat,3712,38.266999999999996
aat,3733,36.735
aat,3753,40.602
aat,3774,38.81
aat,3824,43.367
aat,3845,44.907
aat,3866,43.083999999999996
aat,3916,39.243
aat,3937,38.537
aat,3957,39.027
aat,3998,42.531000000000006
aat,4019,42.215
aat,4067,41.973
aat,4088,42.768
aat,4108,42.748000000000005
aat,4138,38.803000000000004
aat,4159,39.56
aat,4179,38.27
aav,0,20.81
aav,21,20.4
aav,181,16.44
aav,202,16.0
aav,223,14.55
aav,273,13.72
aav,294,12.43
aav,314,11.82
aav,394,10.6
aav,465,11.6
aav,486,12.41
aav,699,8.69
aav,710,9.23
aav,731,9.74
aav,801,11.52
aav,821,11.9
aav,892,12.13
aav,913,10.7
aav,1135,2.11
aav,1156,2.4
aav,1206,3.98
aav,1227,5.41
aav,1247,4.26
aav,1277,5.04
aav,1298,5.4
aav,1319,6.2
aav,1339,7.03
aav,1410,5.96
aav,1451,6.75
aav,1472,6.68
aav,1490,6.86
aav,1520,6.93
aav,1541,7.21
aav,1561,6.18
aav,1582,6.01
aav,1632,6.26
aav,1653,6.15
aav,1674,6.06
aav,1724,6.26
aav,1745,6.65
aav,1765,6.66
aav,1795,6.83
aav,1806,6.73
aav,1827,7.45
aav,1875,8.45
aav,1896,8.97
aav,1946,8.4
aav,1967,7.64
aav,1987,7.63
aav,2008,7.1
aav,2038,5.9
aav,2059,5.07
aav,2079,4.18
aav,2100,5.02
aav,2150,3.87
aav,2191,3.65
aav,2212,4.09
aav,2302,2.86
aav,2323,2.9
aav,2373,3.93
aav,2394,3.29
aav,2415,3.63
aav,2435,3.76
aav,2465,3.49
aav,2486,3.35
aav,2506,3.27
aav,2568,3.07
aav,2586,3.05
aav,2820,4.09
aav,2841,3.97
aav,2891,4.32
aav,2971,4.3
aav,2992,5.39
aav,3012,6.33
aav,3083,6.16
aav,3104,5.34
aav,3326,5.11
aav,3347,5.35
aav,3397,6.19
aav,3418,6.41
aav,3438,6.29
aav,3468,5.55
aav,3489,5.08
aav,3510,5.44
aav,3530,5.32
aav,3601,4.55
aav,3642,4.85
aav,3663,5.31
aav,3682,5.12
aav,3712,5.47
aav,3733,5.5
aav,3753,5.42
aav,3774,5.79
aav,3824,6.44
aav,3845,6.68
aav,3866,6.75
aav,3916,7.52
aav,3937,6.6
aav,3957,7.3
aav,3998,6.35
aav,4019,6.45
aav,4067,6.05
aav,4088,6.8
aav,4108,6.25
aav,4138,6.2
aav,4159,6.15
aav,4179,6.8
ab,0,38.209
ab,21,40.016999999999996
ab,181,41.272
ab,202,42.93
ab,223,41.568999999999996
ab,273,48.102
ab,294,47.42100000000001
ab,314,49.446999999999996
ab,394,52.905
ab,465,55.31
ab,486,57.175
ab,699,48.34
ab,710,44.827
ab,731,42.416000000000004
ab,801,37.52
ab,821,38.265
ab,892,30.116
ab,913,32.266999999999996
ab,1135,7.3165
ab,1156,8.9984
ab,1206,10.942
ab,1227,13.62
ab,1247,12.556
ab,1277,13.312000000000001
ab,1298,13.444
ab,1319,15.796
ab,1339,16.984
ab,1410,16.492
ab,1451,18.71
ab,1472,15.789000000000001
ab,1490,17.078
ab,1520,18.96
ab,1541,20.987
ab,1561,18.879
ab,1582,17.695999999999998
ab,1632,17.152
ab,1653,16.572
ab,1674,15.014000000000001
ab,1724,16.541
ab,1745,15.333
ab,1765,14.527000000000001
ab,1795,14.118
ab,1806,14.559000000000001
ab,1827,13.305
ab,1875,13.706
ab,1896,14.014000000000001
ab,1946,13.329
ab,1967,12.119000000000002
ab,1987,12.540999999999999
ab,2008,10.935
ab,2038,11.061
ab,2059,10.102
ab,2079,8.9434
ab,2100,9.0783
ab,2150,8.9518
ab,2191,9.97
ab,2212,9.0908
ab,2302,9.3892
ab,2323,8.2248
ab,2373,8.2652
ab,2394,8.935
ab,2415,9.949
ab,2435,10.719000000000001
ab,2465,11.737
ab,2486,12.241
ab,2506,11.888
ab,2568,14.559000000000001
ab,2586,16.512999999999998
ab,2820,16.06
ab,2841,16.636
ab,2891,16.294
ab,2971,19.977999999999998
ab,2992,19.366
ab,3012,19.707
ab,3083,20.76
ab,3104,20.834
ab,3326,23.47
ab,3347,25.85
ab,3397,26.86
ab,3418,25.699
ab,3438,25.318
ab,3468,23.074
ab,3489,23.307
ab,3510,22.404
ab,3530,22.998
ab,3601,20.913
ab,3642,15.905999999999999
ab,3663,14.147
ab,3682,17.973
ab,3712,20.166
ab,3733,22.045
ab,3753,21.107
ab,3774,21.346
ab,3824,21.941
ab,3845,20.166
ab,3866,20.465
ab,3916,20.409000000000002
ab,3937,21.61
ab,3957,21.515
ab,3998,21.706
ab,4019,22.325
ab,4067,21.92
ab,4088,22.164
ab,4108,22.409000000000002
ab,4138,22.2
ab,4159,23.2
ab,4179,24.05
abb,0,8.026
abb,21,8.5011
abb,181,9.539
abb,202,10.117
abb,223,9.762
abb,273,11.005
abb,294,11.758
abb,314,12.558
abb,394,12.138
abb,465,14.5
abb,486,16.084
abb,699,21.583000000000002
abb,710,19.183
abb,731,18.842
abb,801,19.713
abb,821,22.541
abb,892,19.364
abb,913,19.99
abb,1135,9.936
abb,1156,10.253
abb,1206,11.933
abb,1227,12.470999999999998
abb,1247,12.13
abb,1277,13.825999999999999
abb,1298,14.578
abb,1319,15.925
abb,1339,15.331
abb,1410,13.898
abb,1451,14.602
abb,1472,13.841
abb,1490,15.695
abb,1520,16.772000000000002
abb,1541,17.082
abb,1561,14.23
abb,1582,13.001
abb,1632,14.894
abb,1653,15.355
abb,1674,15.623
abb,1724,17.994
abb,1745,16.653
abb,1765,15.537
abb,1795,17.581
abb,1806,17.692999999999998
abb,1827,18.619
abb,1875,18.817
abb,1896,19.316
abb,1946,21.863000000000003
abb,1967,20.371
abb,1987,20.809
abb,2008,19.65
abb,2038,17.337
abb,2059,14.856
abb,2079,15.073
abb,2100,14.546
abb,2150,14.822000000000001
abb,2191,17.162
abb,2212,16.932000000000002
abb,2302,13.698
abb,2323,13.934000000000001
abb,2373,14.574000000000002
abb,2394,15.030999999999999
abb,2415,15.770999999999999
abb,2435,16.023
abb,2465,15.4
abb,2486,15.390999999999998
abb,2506,16.79
abb,2568,17.759
abb,2586,19.041
abb,2820,20.811
abb,2841,21.889
abb,2891,22.994
abb,2971,21.906999999999996
abb,2992,22.158
abb,3012,20.83
abb,3083,20.405
abb,3104,20.549
abb,3326,18.124000000000002
abb,3347,19.192
abb,3397,20.179000000000002
abb,3418,20.963
abb,3438,19.441
abb,3468,18.961
abb,3489,18.031
abb,3510,17.278
abb,3530,16.477999999999998
abb,3601,16.646
abb,3642,14.842
abb,3663,15.520999999999999
abb,3682,16.711
abb,3712,18.097
abb,3733,19.25
abb,3753,19.296
abb,3774,19.278
abb,3824,19.968
abb,3845,21.293000000000003
abb,3866,20.925
abb,3916,21.476999999999997
abb,3937,20.693
abb,3957,19.775
abb,3998,21.37
abb,4019,23.033
abb,4067,22.724
abb,4088,22.182
abb,4108,24.61
abb,4138,25.2
abb,4159,25.25
abb,4179,24.62
abev,699,2.5531
abev,710,2.6506
abev,731,2.5242
abev,801,2.8345
abev,821,2.6157
abev,892,2.1033
abev,913,2.0752
abev,1135,1.5032
abev,1156,1.6714
abev,1206,2.1721
abev,1227,2.3280000000000003
abev,1247,2.3295
abev,1277,2.5039
abev,1298,2.6825
abev,1319,2.7123
abev,1339,2.972
abev,1410,3.3982
abev,1451,3.6417
abev,1472,3.2316
abev,1490,3.4707
abev,1520,3.2828
abev,1541,3.4305
abev,1561,3.4688
abev,1582,3.3641
abev,1632,3.8143
abev,1653,3.6969
abev,1674,3.9583
abev,1724,4.9197
abev,1745,4.8726
abev,1765,4.8934
abev,1795,5.6282
abev,1806,5.3191
abev,1827,4.7855
abev,1875,4.8086
abev,1896,5.1954
abev,1946,5.6142
abev,1967,5.6567
abev,1987,5.7465
abev,2008,5.3879
abev,2038,6.1585
abev,2059,5.7008
abev,2079,5.7167
abev,2100,5.8032
abev,2150,6.4057
abev,2191,6.5153
abev,2212,6.8725
abev,2302,6.6993
abev,2323,6.6089
abev,2373,6.9394
abev,2394,6.7082
abev,2415,6.6214
abev,2435,6.8581
abev,2465,7.3193
abev,2486,7.1091
abev,2506,7.535
abev,2568,8.2595
abev,2586,7.8109
abev,2820,7.026
abev,2841,6.6268
abev,2891,6.5383
abev,2971,6.3943
abev,2992,6.8396
abev,3012,6.5961
abev,3083,6.3076
abev,3104,6.2723
abev,3326,5.3099
abev,3347,5.5631
abev,3397,5.8164
abev,3418,5.6527
abev,3438,5.7658
abev,3468,5.3324
abev,3489,4.8896
abev,3510,4.6633
abev,3530,4.6541
abev,3601,4.4735
abev,3642,3.7512
abev,3663,4.2797
abev,3682,4.2219999999999995
abev,3712,5.0394
abev,3733,5.2318
abev,3753,5.2894
abev,3774,5.0394
abev,3824,5.65
abev,3845,5.9208
abev,3866,5.6693
abev,3916,5.9789
abev,3937,5.0263
abev,3957,4.7237
abev,3998,4.9552
abev,4019,5.4204
abev,4067,5.6582
abev,4088,5.5492
abev,4108,5.7078
abev,4138,5.7078
abev,4159,5.3511
abev,4179,5.6
abm,0,16.364
abm,21,16.253
abm,181,14.452
abm,202,15.329
abm,223,15.634
abm,273,17.224
abm,294,17.975
abm,314,18.000999999999998
abm,394,22.264
abm,465,24.468000000000004
abm,486,25.51
abm,699,17.845
abm,710,16.561
abm,731,17.879
abm,801,18.095
abm,821,18.06
abm,892,19.085
abm,913,20.627
abm,1135,12.927999999999999
abm,1156,13.868
abm,1206,13.703
abm,1227,16.201
abm,1247,15.838
abm,1277,18.06
abm,1298,19.164
abm,1319,17.706
abm,1339,18.01
abm,1410,17.2
abm,1451,17.474
abm,1472,16.58
abm,1490,17.854
abm,1520,18.023
abm,1541,18.57
abm,1561,18.421
abm,1582,18.266
abm,1632,18.293
abm,1653,17.801
abm,1674,17.215
abm,1724,19.43
abm,1745,20.609
abm,1765,20.195999999999998
abm,1795,22.886999999999997
abm,1806,22.384
abm,1827,22.271
abm,1875,21.33
abm,1896,21.675
abm,1946,19.686
abm,1967,20.037
abm,1987,20.394000000000002
abm,2008,19.758
abm,2038,17.677
abm,2059,16.003
abm,2079,17.42
abm,2100,16.980999999999998
abm,2150,18.168
abm,2191,19.215999999999998
abm,2212,20.029
abm,2302,19.243
abm,2323,18.558
abm,2373,16.768
abm,2394,18.355999999999998
abm,2415,16.715
abm,2435,17.064
abm,2465,17.096
abm,2486,16.762
abm,2506,18.062
abm,2568,20.028
abm,2586,20.538
abm,2820,26.068
abm,2841,25.744
abm,2891,26.916999999999998
abm,2971,26.837
abm,2992,26.165
abm,3012,25.397
abm,3083,24.581999999999997
abm,3104,23.121
abm,3326,27.743000000000002
abm,3347,30.554000000000002
abm,3397,31.618000000000002
abm,3418,31.866999999999997
abm,3438,31.820999999999998
abm,3468,31.86
abm,3489,31.214000000000002
abm,3510,28.451999999999998
abm,3530,26.514
abm,3601,27.443
abm,3642,28.018
abm,3663,28.787
abm,3682,30.754
abm,3712,31.349
abm,3733,31.62
abm,3753,32.58
abm,3774,33.372
abm,3824,36.506
abm,3845,37.047
abm,3866,37.666
abm,3916,37.289
abm,3937,40.905
abm,3957,43.285
abm,3998,39.319
abm,4019,40.083
abm,4067,43.823
abm,4088,41.619
abm,4108,43.242
abm,4138,42.426
abm,4159,41.35
abm,4179,40.72
abr,0,17.391
abr,21,17.9
abr,181,16.847
abr,202,16.392
abr,223,16.509
abr,273,18.633
abr,294,18.867
abr,314,19.006
abr,394,20.214000000000002
abr,465,19.679000000000002
abr,486,18.833
abr,699,10.849
abr,710,9.863999999999999
abr,731,11.815999999999999
abr,801,11.245999999999999
abr,821,11.517999999999999
abr,892,5.3886
abr,913,7.2284
abr,1135,0.46338
abr,1156,0.5297
abr,1206,1.2775
abr,1227,1.079
abr,1247,1.1916
abr,1277,1.2577
abr,1298,1.2115
abr,1319,1.2577
abr,1339,1.8534
abr,1410,1.2115
abr,1451,1.6218
abr,1472,1.4629
abr,1490,1.4894
abr,1520,2.1514
abr,1541,2.5749
abr,1561,2.6613
abr,1582,2.4493
abr,1632,4.038
abr,1653,3.5084
abr,1674,3.0385
abr,1724,3.4819999999999998
abr,1745,3.6937
