name,time,value
1.0,627.0201612903226,341.8840725806451
1.0,627.5241935483871,341.8840725806451
1.0,632.5645161290323,343.39616935483866
1.0,641.133064516129,346.92439516129025
1.0,644.1572580645162,347.9324596774193
1.0,644.6612903225807,348.43649193548384
1.0,646.6774193548388,348.94052419354836
1.0,647.1814516129033,349.44455645161287
1.0,651.7177419354839,351.96471774193543
1.0,653.733870967742,352.46874999999994
1.0,656.758064516129,352.9727822580645
1.0,661.2943548387098,353.476814516129
1.0,665.3266129032259,354.98891129032256
1.0,667.3427419354839,357.5090725806451
1.0,669.358870967742,358.01310483870964
1.0,670.366935483871,359.02116935483866
1.0,670.8709677419355,359.02116935483866
1.0,673.391129032258,359.02116935483866
1.0,673.8951612903226,359.02116935483866
1.0,674.9032258064516,359.5252016129032
1.0,675.4072580645162,360.0292338709677
1.0,676.4153225806452,359.02116935483866
1.0,678.9354838709678,359.02116935483866
1.0,679.4395161290323,358.51713709677415
1.0,679.4395161290323,357.5090725806451
1.0,679.4395161290323,357.0050403225806
1.0,679.4395161290323,356.5010080645161
1.0,679.9435483870968,355.9969758064516
1.0,683.9758064516129,355.9969758064516
1.0,687.0,357.0050403225806
1.0,688.008064516129,357.0050403225806
1.0,690.0241935483871,358.01310483870964
1.0,690.5282258064516,358.01310483870964
1.0,692.0403225806452,358.01310483870964
1.0,693.5524193548388,357.5090725806451
1.0,695.0645161290323,357.0050403225806
1.0,697.5846774193549,357.0050403225806
1.0,701.1129032258065,355.9969758064516
1.0,703.1290322580645,355.4929435483871
1.0,705.6491935483871,354.48487903225805
1.0,708.1693548387098,353.98084677419354
1.0,708.6733870967743,353.98084677419354
1.0,710.6895161290323,353.476814516129
1.0,712.2016129032259,352.9727822580645
1.0,715.7298387096774,351.96471774193543
1.0,716.233870967742,351.4606854838709
1.0,717.7459677419355,349.44455645161287
1.0,718.25,348.94052419354836
1.0,719.258064516129,347.42842741935476
1.0,719.7620967741935,346.92439516129025
1.0,721.2741935483871,344.9082661290322
1.0,721.7782258064516,344.4042338709677
1.0,722.2822580645162,343.9002016129032
1.0,722.7862903225807,343.39616935483866
1.0,724.8024193548388,342.38810483870964
1.0,725.8104838709678,341.8840725806451
1.0,726.8185483870968,341.8840725806451
1.0,729.8427419354839,340.8760080645161
1.0,731.3548387096774,340.3719758064516
1.0,731.858870967742,340.3719758064516
1.0,732.866935483871,339.36391129032256
1.0,733.3709677419355,338.85987903225805
1.0,736.8991935483871,338.35584677419354
1.0,741.4354838709678,336.84375
1.0,743.9556451612904,336.33971774193543
1.0,746.4758064516129,334.8276209677419
1.0,750.508064516129,333.81955645161287
1.0,751.516129032258,333.81955645161287
1.0,753.5322580645162,333.31552419354836
1.0,757.5645161290323,332.30745967741933
1.0,759.0766129032259,331.29939516129025
1.0,763.108870967742,330.79536290322574
1.0,767.141129032258,329.7872983870967
1.0,770.1653225806452,328.7792338709677
1.0,772.1814516129033,327.26713709677415
1.0,773.6935483870968,326.2590725806451
1.0,774.1975806451613,325.7550403225806
1.0,774.7016129032259,325.2510080645161
1.0,777.2217741935484,323.73891129032256
1.0,777.7258064516129,323.23487903225805
1.0,779.741935483871,321.72278225806446
1.0,780.75,320.71471774193543
1.0,781.2540322580645,320.2106854838709
1.0,781.758064516129,319.7066532258064
